"","shortnam","avexpr","logem4","avelf","catho80","muslim80","legor_fr","no_cpm80","f_brit","f_french","temp1","temp2","temp3","temp4","temp5","humid1","humid2","humid3","humid4","steplow","deslow","stepmid","desmid","drystep","drywint","edes1975","euro1900","landlock","goldm","iron","silv","zinc","oilres","malfal94","leb95","imr95","meantemp","lt100km","yellow","lat_abst","ind_time","exconst_01","democ_01","exconst_00","democ_00","logpgp95","loghjypl","baseco","neo_europe"
"11","BEN",NA,5.58544921875,0.6831192,18.5,15.2,1,63.5,0,1,27,31,35,18,22,83,91,68,78,1,0,0,0,0,0,0,0,0,0,0,0,0,3930,NA,NA,NA,NA,NA,1,0.1033333,1960,3,4,NA,NA,7.29480876112645,-3.20504526449801,FALSE,FALSE
"12","BFA",4.45454549789429,5.63478946685791,0.5467181,9,43,1,46.4,0,1,29,38,48,9,19,38,81,19,67,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,44.39,98.8,28.1,0,1,0.1444445,1960,3,0,NA,NA,6.55742833039699,-3.65753368357703,TRUE,FALSE
"13","BGD",5.13636350631714,4.26843786239624,0,0.2,85.9,0,13.7,1,0,25,29,42,7,24,37,74,37,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,58.13,78.8,25.68621,0.401598,1,0.2666667,1972,7,8,NA,NA,6.97831100339686,-3.15690910191623,TRUE,FALSE
"14","BGR",8.90909099578857,NA,0.1157407,0.5,10.6,0,88.5,0,0,9,16,37,-21,8,71,90,46,78,0,0,0,0,0,0,100,100,0,0,0,0,0,34,NA,NA,NA,NA,NA,0,0.4777778,1879,3,0,1,0,8.95212093017663,-1.42850879400284,FALSE,FALSE
"15","BHR",8,NA,NA,0.8,95,0,3.3,1,0,25,29,45,5,24,69,85,63,77,0,1,0,0,0,0,0,0,0,0,0,0,0,131000,NA,NA,NA,NA,NA,0,0.2888889,1971,1,0,NA,NA,10.5202786449152,-0.83081638975962,FALSE,FALSE
"16","BHS",7.5,4.44265127182007,0,25.5,0,0,27.3,1,0,25,29,34,5,19,79,84,62,73,0,0,0,0,0,0,10,10,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.2683333,NA,NA,NA,NA,NA,9.91042434999219,-0.386553551675569,TRUE,FALSE
"17","BIH",NA,NA,NA,15,40,0,41,0,0,10,20,41,-22,7,70,93,40,77,0,0,0,0,0,0,100,100,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.4888889,1992,NA,NA,NA,NA,7.09721161861394,NA,FALSE,FALSE
"18","BLR",NA,NA,NA,14,0,0,86,0,0,4,2,32,-32,5,58,87,43,83,0,0,0,0,0,0,100,100,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.5888889,1991,7,7,NA,NA,8.25687514574627,NA,FALSE,FALSE
"19","BLZ",NA,5.09558916091919,0.4090909,66.8,0,0,20,1,0,26,32,36,9,18,90,94,86,91,0,0,0,0,0,0,20,20,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.1905556,NA,NA,NA,NA,NA,8.42563454767042,-1.62534419847061,FALSE,FALSE
"20","BOL",5.63636350631714,4.26268005371094,0.5994118,92.5,0,1,5.2,0,0,12,21,27,-3,2,77,93,49,74,0,0,0,0,0,0,30.0000019073486,30.0000019073486,1,0,0,0,0,14300,0.00528,61.39,65.6,21.5,0,1,0.1888889,1825,3,1,3,3,7.98983667614358,-2.89858837806865,TRUE,FALSE
