shortnam;avexpr;logem4;avelf;protmg80;no_cpm80;catho80;muslim80;legor_fr;f_brit;f_french;temp1;temp2;temp3;temp4;temp5;humid1;humid2;humid3;humid4;steplow;deslow;stepmid;desmid;drystep;drywint;edes1975;euro1900;landlock;goldm;iron;silv;zinc;oilres;malfal94;leb95;imr95;meantemp;lt100km;yellow;lat_abst;ind_time;exconst_01;democ_01;exconst_00;democ_00;exconst_70;exconst_90;logpgp95;loghjypl;baseco;neo_europe;africa;asia
GEO;NA;NA;NA;0;88;1;11;0;0;0;13;20;40;-15;14;57;80;40;65;0;0;1;0;0;0;100;100;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0,4666667;1991;4;4;1;1;1;1;7,541343042;NA;0;0;0;1
GHA;6,272727489;6,504288197;0,7060708;25,8;39,8;18,7;15,7;0;1;0;27;32;38;15;21;95;97;61;77;1;0;0;0;0;0;0;0;0;0;0;0;0;30;1;60;65,8;26,35758;0,192991;1;0,0888889;1960;3;2;1;1;2;1;7,310266034;-2,675638993;1;0;1;0
GIN;6,545454502;6,180016518;0,75983;0,1;29,8;1,1;69;1;0;1;27;31;36;17;21;83;94;63;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;46,5;124;24,43889;0,140641;1;0,1222222;1958;1;0;1;1;1;1;6,960819504;-2,451242413;1;0;1;0
GMB;8,272727013;7,293017864;0,7803704;0,4;12,9;1,9;84,8;0;1;0;24;33;41;7;21;66;95;26;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;47;122;25,66596;0,3997;1;0,1475556;1965;5;8;1;1;5;5;7,409085681;-2,562065569;1;0;1;0
GNB;4,545454502;5,10388279;0,85;0,6;50,9;10,2;38,3;1;0;0;28;35;43;13;21;70;87;45;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;NA;NA;NA;NA;1;0,1333333;1974;3;0;1;1;1;2;7,087282257;-3,202322504;0;0;1;0
GRC;7,818181992;NA;0,0777778;0,1;98;0,4;1,5;1;0;0;19;21;43;-6;16;47;78;34;63;0;0;0;0;0;0;100;100;0;0;0;0;0;4010;0;NA;NA;NA;NA;0;0,4333333;1827;1;0;7;10;1;7;9,641818284;-0,863677587;0;0;0;0
GTM;5,136363506;4,262680054;0,4766667;4,9;1,1;94;0;1;0;0;19;28;32;5;12;81;92;51;72;0;0;0;0;0;0;20;20;0;0;0;0;0;2700;0,012;64,04;46;21,7;0,425458;1;0,17;1839;1;1;3;4;3;3;8,327401552;-2,195573592;1;0;0;0
GUY;5,886363506;3,471345186;0,2377778;3,9;8,1;18;9;0;1;0;27;31;34;20;22;83;93;69;77;0;0;0;0;0;0;2;2;0;0;0;0;0;0;NA;NA;NA;NA;NA;1;0,0555556;1966;7;5;1;1;1;1;8,50521754;-2,321368278;1;0;0;0
HKG;8,136363983;2,701361179;0,2368212;16,4;4,1;7,9;0,5;0;1;0;21;26;36;0;22;73;87;60;78;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;NA;NA;22,6;1;0;0,2461111;NA;NA;NA;NA;NA;NA;NA;10,11609897;-0,689111507;1;0;0;1
HND;5,318181992;4,357990265;0,0973593;18;55;95,8;0,1;1;0;0;22;25;30;14;18;79;91;43;70;0;0;0;0;0;0;20;20;0;0;0;0;0;0;0,0108;69,4;35;25,4;0,668602;1;0,1666667;1839;3;1;5;6;3;5;7,756447979;-2,23384839;1;0;0;0
HRV;NA;NA;NA;7,5;84,1;76,5;1,2;0;0;0;12;20;42;-25;8;71;85;46;76;0;0;0;0;0;0;100;100;0;0;0;0;0;NA;0;NA;NA;NA;NA;0;0,5011111;1991;3;1;1;1;1;1;8,986668964;NA;0;0;0;0
HTI;3,727272749;4,867534637;0,0644048;2,6;1,499997;82,6;0;1;0;1;27;34;38;16;20;68;79;43;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;53,75;67,7;26,58033;1;1;0,2111111;1820;1;0;1;0;1;1;6,9769719;-3,092389942;1;0;0;0
HUN;9;NA;0,0650794;0,4;21,9;53,9;0;0;0;0;9;14;39;-23;8;71;88;47;81;0;0;0;0;0;0;100;100;1;0;0;0;0;14000;0;NA;NA;NA;NA;0;0,5222222;1867;3;1;3;1;3;1;9,123690941;-1,321727146;0;0;0;0
IDN;7,590909004;5,135798454;0,6905679;12,8;4,600001;2,7;43,4;1;0;0;28;33;37;19;21;90;95;61;75;0;0;0;0;0;0;0;0;0;0;0;0;0;29700;0,425940007;65,13;48,4;26,8;0,74576;1;0,0555556;1945;1;0;1;1;2;2;8,416774449;-2,56581004;1;0;0;1
IND;8,272727013;3,884240627;0,7421975;4,8;49,1;1,3;11,6;0;1;0;24;28;46;-1;22;35;80;19;64;1;0;0;0;0;0;0;0;0;0;5;0;7;6750;0,281069994;62,59;72,3;25,9;0,156776;0;0,2222222;1947;6;5;1;1;7;7;7,361577425;-3,407310943;1;0;0;1
IRL;9,727272987;NA;0,0903571;20,9;69,1;95,3;0;0;1;0;9;14;30;-12;3;75;88;75;88;0;0;0;0;0;0;100;NA;0;0;0;0;3;0;0;NA;NA;NA;NA;0;0,5888889;1921;7;8;1;1;7;7;9,848032571;-0,670760917;0;0;0;0
IRN;4,772727489;NA;NA;1,1;86;0,1;97,9;1;0;0;15;18;43;-21;15;47;77;39;75;1;1;0;0;0;0;0;0;0;0;0;0;1;1470;0,152319998;NA;NA;NA;NA;0;0,3555556;1800;1;0;1;0;1;3;9,079989588;-2,063124904;0;0;0;1
IRQ;1,636363626;NA;NA;1,1;3,599997;1,8;95,8;1;1;0;21;25;49;-8;18;32;84;12;52;1;0;0;0;0;0;0;0;0;0;0;0;0;5020000;0,00208;NA;NA;NA;NA;0;0,3666667;1924;3;1;1;1;1;1;8,467320983;-0,858162605;0;0;0;1
ISL;9,727272987;NA;0,1;0;1,999998;0,7;0;0;0;0;5;10;23;-17;1;75;83;67;80;0;0;0;0;0;0;100;100;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0,7222222;NA;NA;NA;NA;NA;NA;NA;10,08299523;-0,462584898;0;0;0;0
ISR;8,545454979;NA;0,3270557;0;2,399997;1;8;0;1;0;20;25;42;-3;11;47;77;32;66;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0,3477778;1948;7;10;1;1;7;7;9,898454321;-0,558767564;0;0;0;1
ITA;9,454545021;NA;0,0388682;96,6;2,700001;83,2;0,1;1;0;0;17;19;40;-6;12;70;87;42;70;0;0;0;0;0;0;100;100;0;0;0;0;0;12900;0;NA;NA;NA;NA;0;0,4722222;1861;7;1;7;1;7;7;10,01415909;-0,440400649;0;0;0;0
JAM;7,090909004;4,867534637;0,0125;0,2;90,8;9,6;0,1;0;1;0;26;33;36;14;20;77;88;61;73;0;0;0;0;0;0;10;1,899999976;0;0;0;0;0;0;0;74,82;21,9;26,5;1;1;0,2016667;1959;7;10;1;1;7;7;8,737961006;-2,000822639;1;0;0;0
JOR;6,772727489;NA;0,0297194;0,4;16,3;1,7;93;1;1;0;19;24;43;-6;13;39;80;28;56;0;1;0;0;0;0;0;0;0;0;0;0;0;899;0;NA;NA;NA;NA;0;0,3444445;1946;1;0;1;1;2;3;8,558335904;-1,444122546;0;0;0;1
JPN;9,727272987;NA;0,0098803;55,5;34,8;0,6;0;0;0;0;15;22;38;-8;16;71;92;48;69;0;0;0;0;0;0;0;0;0;0;0;0;3;480;0;NA;NA;NA;NA;0;0,4;1800;1;0;7;5;7;7;10,06064014;-0,724590061;0;0;0;1
KAZ;NA;NA;NA;0,3;5;3;47;0;0;0;5;5;42;-33;10;58;91;34;80;0;0;1;1;0;0;NA;NA;1;0;0;0;0;0;0;NA;NA;NA;NA;0;0,5333334;1991;3;1;1;1;1;1;8,686907078;NA;0;0;0;1
KEN;6,045454502;4,976733685;0,8269649;0,9;98,5;26,4;6;0;1;0;18;26;31;5;11;74;89;40;62;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0,910000026;52,04;65,5;22,6;0,082504;1;0,0111111;1963;5;5;1;1;3;3;7,340001004;-2,827628039;1;0;1;0
KGZ;NA;NA;NA;2;48;0;70;0;0;0;2;12;38;-34;7;65;87;39;72;1;0;0;0;0;0;NA;NA;1;0;0;0;0;0;0;NA;NA;NA;NA;0;0,4555556;1991;4;1;1;1;1;1;7,246068103;NA;0;0;0;1
KOR;8,636363983;4,770684719;0;45,3;5,700001;3,9;0;0;0;0;11;12;37;-24;14;77;91;46;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0,4111111;1800;7;5;7;5;1;1;9,510295179;-1,311626659;0;0;0;1
KWT;7,045454502;NA;NA;52;39,8;2,1;95,1;1;1;0;25;26;48;1;26;45;77;41;65;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0,3255555;1963;3;0;1;1;2;1;11,00093904;-0,452956722;0;0;0;1
LAO;NA;4,941642284;0,25;12,2;83,9;0,8;1;0;0;1;26;33;40;4;21;71;87;71;87;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0,863000035;NA;NA;NA;NA;1;0,2;1953;5;4;1;1;1;3;7,224938935;-3,701647696;0;0;0;1
LBR;3,636363745;6,180016518;0,8030553;0,2;98;1,9;21,2;0;0;0;25;29;34;13;20;87;95;76;86;0;0;0;0;0;0;0;0;0;0;0,800000012;0;0;0;1;NA;NA;NA;NA;1;0,07;1847;7;7;4;1;3;1;NA;-2,830317194;0;0;1;0
LBY;5,272727489;NA;0,1214057;1;25,4;0,2;98,1;1;0;0;24;28;46;1;17;54;72;53;72;0;1;0;0;0;0;0;0;0;0;0;0;0;4500000;0;NA;NA;NA;NA;0;0,2777778;1951;3;0;1;1;1;1;NA;NA;0;0;1;0
LKA;6,045454502;4,245634079;0,3257469;6,3;5,399997;6,8;7,2;0;1;0;27;31;36;15;22;71;80;66;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,200000003;73,11;17,6;27,6;0,99362;1;0,0777778;1948;7;7;1;1;7;5;8,075896301;-2,286152895;1;0;0;1
LSO;NA;NA;0,2097619;10,7;1,399999;43,5;0;0;1;0;16;23;38;-9;6;51;75;25;42;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;NA;NA;NA;NA;1;0,3255555;1966;5;5;1;1;5;1;6,972424454;-3,281313678;0;0;1;0
